Country Name,Country Code,Access to electricity percent of population
Kazakhstan,KAZ,100
Kenya,KEN,75
Kiribati,KIR,100
"Korea, Dem. People’s Rep.",PRK,48.49082565
"Korea, Rep.",KOR,100
Kosovo,XKX,100
Kuwait,KWT,100
Kyrgyz Republic,KGZ,100
Lao PDR,LAO,97.91982269
Latvia,LVA,100
Lebanon,LBN,100
Lesotho,LSO,47
Liberia,LBR,25.9182663
Libya,LBY,67
Liechtenstein,LIE,100
Lithuania,LTU,100
Luxembourg,LUX,100
"Macao SAR, China",MAC,100
Madagascar,MDG,25.90781212
Malawi,MWI,18.02
Malaysia,MYS,100
Maldives,MDV,100
Mali,MLI,50.9
Malta,MLT,100
Marshall Islands,MHL,96.35547638
Mauritania,MRT,44.52691269
Mauritius,MUS,97.46600342
Mexico,MEX,100
"Micronesia, Fed. Sts.",FSM,82.09972382
Moldova,MDA,100
Monaco,MCO,100
Mongolia,MNG,98.1
Montenegro,MNE,100
Morocco,MAR,100
Mozambique,MOZ,31.1
Myanmar,MMR,66.26457214
Namibia,NAM,53.87387466
Nauru,NRU,99.838974
Nepal,NPL,93.92
Netherlands,NLD,100
New Caledonia,NCL,100
New Zealand,NZL,100
Nicaragua,NIC,88.07795715
Niger,NER,17.6
Nigeria,NGA,56.5
North Macedonia,MKD,100
Northern Mariana Islands,MNP,100
Norway,NOR,100
Oman,OMN,100
Pakistan,PAK,71.0915467
Palau,PLW,100
Panama,PAN,100
Papua New Guinea,PNG,58.96735764
Paraguay,PRY,100
Peru,PER,95.2
Philippines,PHL,94.85723114
Poland,POL,100
Portugal,PRT,100
Puerto Rico,PRI,100
Qatar,QAT,100
Romania,ROU,100
Russian Federation,RUS,100
Rwanda,RWA,34.71657181
Samoa,WSM,100
San Marino,SMR,100
Sao Tome and Principe,STP,71
Saudi Arabia,SAU,100
Senegal,SEN,66.95944977
Serbia,SRB,100
Seychelles,SYC,100
Sierra Leone,SLE,26.1
Singapore,SGP,100
Sint Maarten (Dutch part),SXM,100
Slovak Republic,SVK,100
Slovenia,SVN,100
Solomon Islands,SLB,66.66609955
Somalia,SOM,35.25553513
South Africa,ZAF,91.22987366
South Sudan,SSD,28.20185661
Spain,ESP,100
Sri Lanka,LKA,99.58340454
St. Kitts and Nevis,KNA,100
St. Lucia,LCA,99.53749847
St. Martin (French part),MAF,100
St. Vincent and the Grenadines,VCT,100
Sudan,SDN,59.783535
Suriname,SUR,97.4
Sweden,SWE,100
Switzerland,CHE,100
Syrian Arab Republic,SYR,86
Tajikistan,TJK,99.3
Tanzania,TZA,35.55897903
Thailand,THA,100
Timor-Leste,TLS,85.59183502
Togo,TGO,51.34528351
Tonga,TON,98.89260101
Trinidad and Tobago,TTO,100
Tunisia,TUN,99.8
Turkey,TUR,100
Turkmenistan,TKM,100
Turks and Caicos Islands,TCA,100
Tuvalu,TUV,100
Uganda,UGA,42.65
Ukraine,UKR,100
United Arab Emirates,ARE,100
United Kingdom,GBR,100
United States,USA,100
Uruguay,URY,100
Uzbekistan,UZB,100
Vanuatu,VUT,61.86476898
"Venezuela, RB",VEN,100
Vietnam,VNM,100
Virgin Islands (U.S.),VIR,100
West Bank and Gaza,PSE,100
"Yemen, Rep.",YEM,62
Zambia,ZMB,39.81262207
Zimbabwe,ZWE,41.04158401
